title	score	num_comm	created	content
New Zealand beats Coronavirus for the second time with no active community cases as of today.	116417	4888	2020-10-07 04:04:50	
‘I’m surprised he’s even heard of us’: Wales hits back after Trump criticises country’s coronavirus response | “I look forward to welcoming Joe Biden here as next president of the United States,” says Plaid Cymru leader	99611	2930	2020-10-08 20:12:21	
James Murdoch says he quit father's news empire because it legitimises ‘disinformation'	95063	3027	2020-10-11 04:39:02	
Facebook bans Holocaust denial amid ‘rise in anti-Semitism and alarming level of ignorance’	93082	5041	2020-10-12 19:04:00	
David Attenborough calls for global $500 billion a year investment in nature	91907	1803	2020-09-30 21:00:33	
"Sandwiches in Subway ""too sugary to meet legal definition of being bread"" rules Irish Supreme Court"	91666	4476	2020-09-30 13:33:40	
Right-Wing Trumpist News Site Busted as Putin Troll Farm Operation	90765	3856	2020-10-01 19:34:24	
Oxygen Supply Just Failed in Part of The ISS, But Everyone Is Safe So Far	90012	3501	2020-10-16 18:37:50	
Finland will jail men who send unsolicited 'd**k pics' under new proposals	89253	4625	2020-10-13 21:36:03	
"New Zealand's Deputy Prime Minister shuts down American Covid-19 denier at campaign event: ""We’ve got someone who obviously got an education in America"""	89145	4564	2020-10-13 12:05:06	
"Justin Trudeau: Canada-US border will stay closed until US gets COVID-19 under control - ""The U.S. is not in a place where we would feel comfortable reopening those borders. We see the cases in the USA and elsewhere around the world, and we need to continue to keep these border controls in place."""	83409	4209	2020-10-15 22:55:17	
Canada banning plastic bags, straws, cutlery and other single-use items by the end of 2021	78009	2958	2020-10-07 20:20:26	
The Vatican said on Wednesday it had denied a request from Mike Pompeo for an audience with Pope Francis, and accused the Secretary of State of trying to drag the Catholic Church into the U.S. presidential election	75759	2268	2020-10-01 00:26:07	
Church of England forgave paedophiles and allowed them to continue working with children, inquiry finds	73243	2345	2020-10-06 15:06:47	
U.S. no longer recognizes Lukashenko as president of Belarus after rigged election	73031	4080	2020-09-24 02:34:16	
Russian Editor Dies After Setting Herself On Fire In Front Of An Interior Ministry Office	70805	3287	2020-10-02 20:12:52	
Justin Trudeau: 'The World Is In Crisis, And Things Are About To Get Much Worse'	70163	6911	2020-09-26 22:01:46	
Multiple 'water bodies' found under surface of Mars	68065	2532	2020-09-28 22:24:42	
France to distribute free medical cannabis, launch experiment in 2021	67418	1911	2020-10-09 19:09:05	
Mexican Senate Will Vote to Federally Legalize Cannabis in the Next Two Weeks, Leader Says	66951	1936	2020-10-15 18:08:38	
Pussy Riot commandeer government buildings with LGBT+ flags to mark Putin’s birthday	66649	1327	2020-10-07 16:48:59	
US officials warned the White House that Russian intelligence was using Rudy Giuliani to funnel disinformation to Trump	66522	3444	2020-10-16 06:13:06	
