title	score	num_comm	created	content	sources
It's Official: Solar Is the Cheapest Electricity in History	90257	3991	2020-10-25 05:22:55	None	None
Italy is shutting cinemas, swimming pools and gyms from Monday in a further attempt to curb the rapid rise in coronavirus infections.	63549	3702	2020-10-25 16:35:50	None	None
Palestinian teen dies after being beaten by Israeli soldiers	12208	1493	2020-10-25 15:45:17	None	None
The Iraqi Council of Representatives on Saturday conducted the first reading of a proposal to recognize the Islamic State (IS) massacre against Yezidis as a genocide.	6176	107	2020-10-25 15:33:05	None	None
South Australia Becomes World's First Major Jurisdiction to be Powered 100% by Solar Power	5119	249	2020-10-25 07:19:20	None	None
Hundreds rally in Taiwan, call for release of 12 Hong Kong people arrested by China	3820	167	2020-10-25 14:36:41	None	None
77 fines issued, 7 people charged for breaking Canada's quarantine rules during COVID-19 | CBC News	3791	276	2020-10-25 17:23:43	None	None
Polish women protest new abortion restriction in churches	3515	160	2020-10-25 18:02:01	None	None
Escaped cloned female mutant crayfish take over Belgian cemetery	4174	441	2020-10-25 18:50:45	None	None
Research team discovers breakthrough with potential to prevent, reverse Alzheimer's	1986	116	2020-10-25 04:39:37	None	None
U.S. sanctions Russian institute linked to dangerous malware	1680	127	2020-10-25 03:57:59	None	None
Russia records over 114,500 new coronavirus cases this week	1639	113	2020-10-25 13:46:47	None	None
Belarus police fire stun grenades as 100,000 protest - The opposition has given Belarusian President Lukashenko an ultimatum: Resign by midnight or face a national strike.	17939	465	2020-10-25 22:20:55	None	None
Venezuela's Maduro urges legalization of same-sex marriage after Pope’s comments.	1466	109	2020-10-25 17:43:52	None	None
Third day of protests in Poland following effective abortion ban	737	99	2020-10-25 03:57:59	None	None
Health minister says China must be held to account if they weren't honest about virus	1184	79	2020-10-25 20:44:55	None	None
All of South Australia's power comes from solar panels in world first for major jurisdiction	615	70	2020-10-25 04:56:07	None	None
Refusing to wear a mask in Ethiopia could cost you two years in jail	565	73	2020-10-25 09:55:41	None	None
"Police in Berlin have broken up a 600-strong party as coronavirus restrictions continue to curb German festivities. Berlin police tweeted that the ""fetish party"" in the capital ""probably ended unsatisfactorily"" for the attendees."	3372	166	2020-10-25 23:44:28	None	None
"Belarus opposition announces nation-wide strike tomorrow, 26.10, after protests were forcefully dispersed and the regime ""failed to implement opposition demands""."	1328	30	2020-10-25 22:59:44	None	None
Tens of thousands of people marched through Minsk and other cities on Sunday, keeping pressure on Belarusian President Alexander Lukashenko a day before the opposition threatens to launch a national strike if he refuses to resign	532	17	2020-10-25 19:36:41	None	None
An international treaty banning nuclear weapons has been ratified by a 50th country, the UN has said, allowing the historic though essentially symbolic text to enter into force after 90 days.	400	89	2020-10-25 16:00:14	None	None
China says U.S. bullying countries to pick sides, attempt will not succeed	350	294	2020-10-25 14:45:53	None	None
Afghan forces kill top Qaida member al-Masri, one of US’ most wanted	268	20	2020-10-25 09:16:59	None	None
Canada adds more than 2,500 new coronavirus cases Friday	260	70	2020-10-25 03:18:00	None	None
Coronavirus: No new cases of COVID-19 in New Zealand	230	30	2020-10-25 04:21:30	None	None
Venezuela's Maduro, citing Pope, asks congress to consider same-sex marriage	226	91	2020-10-25 07:05:22	None	None
Women reportedly searched on tarmac in Qatar after foetus found in airport bathroom	216	84	2020-10-25 14:05:49	None	None
Treaty to Prohibit Nuclear Weapons Passes Important Threshold: Fifty countries have now ratified the treaty, so it will become international law. The United States and the eight other nuclear-armed powers reject it but have failed to stop its advance.	827	137	2020-10-26 00:13:24	None	None
Turkish president claims Emmanuel Macron 'needs mental health treatment' over his attitude to Islam | World News	185	50	2020-10-25 14:30:06	None	None
France deports Bosnians who shaved daughter's hair over love affair	176	32	2020-10-25 13:16:20	None	None
France recalls Turkey envoy after Erdogan says Macron needs 'mental check'	153	15	2020-10-25 07:56:04	None	None
Attackers storm Cameroon school, kill several children	151	34	2020-10-25 02:58:05	None	None
Arctic Sea Ice Is Failing to Form, Raising a Huge ‘Red Flag’	1041	84	2020-10-26 00:49:25	None	None
Waive off intellectual property rights on COVID-19 medicines, vaccines: 379 NGOs tell WTO	248	23	2020-10-25 21:12:46	None	None
Thousands join Poland protests against strict abortion laws	257	7	2020-10-25 21:26:27	None	None
Sudanese protesters burn Israeli flag, reject normalization with Israel	127	27	2020-10-25 06:29:48	None	None
Research team discovers breakthrough with potential to prevent, reverse Alzheimer's	288	22	2020-10-25 23:56:19	None	None
Kuwait takes French products off shelves in protest at anti-Prophet images	77	95	2020-10-25 04:38:20	None	None
Finland shocked by therapy center hacking, client blackmail. Finland’s interior minister summoned key Cabinet members into an emergency meeting Sunday after hundreds of patient records at a private Finnish psychotherapy center were accessed by a hacker or hackers who are seeking ransom from clients.	94	6	2020-10-25 20:05:45	None	None
Warsaw police detain 278 after Saturday's protests against coronavirus restrictions	76	4	2020-10-25 16:03:32	None	None
BBC News - Isle of Wight: 'Ongoing incident' on board anchored tanker	73	12	2020-10-25 19:18:20	None	None
Tokyo reports 124 COVID-19 patients, among them its 30,000th	73	2	2020-10-25 13:40:20	None	None
Egypt: Child marriage bid foiled by authorities	91	12	2020-10-25 21:45:51	None	None
Stolen medical records used for extortion in Finland	68	2	2020-10-25 03:02:04	None	None
Spain declares nationwide state of emergency over virus	72	4	2020-10-25 19:01:53	None	None
UN nuclear ban treaty to go into effect in 90 days	67	16	2020-10-25 06:09:45	None	None
Polish President Andrzej Duda tests positive for COVID-19	68	4	2020-10-25 05:13:54	None	None
Looters raid Nigeria food warehouse as unrest spreads	64	8	2020-10-25 06:55:42	None	None
Turkey says Muslims in Europe being demonized, like Jews in 1920s	69	173	2020-10-25 21:20:35	None	None
Refusing to wear a mask in Ethiopia could cost you two years in jail	68	14	2020-10-25 16:34:13	None	None
Thai protests resume in Bangkok after lifting of severe emergency	60	2	2020-10-25 12:11:49	None	None
UN: Nuclear weapons ban treaty to enter into force	56	14	2020-10-25 04:54:21	None	None
France hits record 52,010 daily Covid cases, Spain declares new state of emergency	177	31	2020-10-26 00:35:34	None	None
Senior al-Qaeda leader Abu Muhsin al-Masri killed in Afghanistan	53	13	2020-10-25 06:47:59	None	None
Coronavirus global daily case rate passes 500,000 for first time	86	11	2020-10-25 22:38:44	None	None
Attack in Kabul kills 18; al-Qaida leader killed in Ghazni	47	38	2020-10-25 15:51:32	None	None
Armenian PM: Pakistan sending armed terrorists to fight against armenia	71	14	2020-10-25 21:39:37	None	None
Weekly shop will become 'much more expensive' with no-deal Brexit	113	34	2020-10-26 00:01:24	None	None
Belarus opposition prepares nationwide strike after police crackdown on protests	85	2	2020-10-25 23:39:22	None	None
School meals: Pressure mounts on government to reverse decision	41	3	2020-10-25 09:13:31	None	None
Russia coronavirus cases top 1.5 million; no new lockdown	48	3	2020-10-25 18:38:12	None	None
Children’s execution enactment provokes outrage in Egypt	54	3	2020-10-25 22:10:21	None	None
Falklands celebrates completion of demining with a symbolic “Reclaim the Beach”	41	5	2020-10-25 14:19:35	None	None
Fijian-born British soldiers lose latest legal fight to stay in UK	52	10	2020-10-25 19:56:28	None	None
Kamchatka: Toxic algae blamed for mass marine death in Russia	40	9	2020-10-25 13:42:02	None	None
France urges Middle Eastern countries to stop boycott of French products	49	185	2020-10-25 22:05:24	None	None
At least 24 dead in suicide attack on Kabul educational centre	42	10	2020-10-25 13:40:15	None	None
UN says nuclear weapons ban treaty to enter into force in 90 days	40	17	2020-10-25 05:17:08	None	None
NSW records third consecutive day with no locally transmitted coronavirus cases	40	2	2020-10-25 08:49:20	None	None
Malaysia's King rejected the Prime Minister's request to declare a state of emergency over Covid-19 pandemic.	39	13	2020-10-25 16:41:53	None	None
Japan looking to make PCR tests easier for those with no COVID-19 symptoms	38	1	2020-10-25 13:01:24	None	None
Berlin art college withdraws funding to Is‎raeli‎s seeking to unlearn Zio‎n‎ism‎	34	13	2020-10-25 13:29:16	None	None
Arson attackers target German infectious disease agency	36	1	2020-10-25 19:58:47	None	None
The best of all-time? Lewis Hamilton breaks Michael Schumacher's Formula 1 wins record	43	12	2020-10-25 19:10:12	None	None
Uruguay: slashing funds is no way to thank scientists for COVID success	33	0	2020-10-25 04:31:47	None	None
Afghan forces say they killed senior al-Qaeda terrorist Abu Muhsin al-Masri	32	2	2020-10-25 09:19:42	None	None
Canada breaks record for number of new COVID-19 cases in a single day	52	22	2020-10-25 23:50:43	None	None
Europe becomes second region to cross 250,000 deaths as second COVID wave hits	39	8	2020-10-25 22:20:48	None	None
Polls open in Chile for historic constitutional plebiscite	39	1	2020-10-25 18:10:46	None	None
Lukashenko faces Belarusian opposition ultimatum	31	2	2020-10-25 15:22:13	None	None
Dozens of far-right protesters in Rome clashed with riot police during a demonstration against the curfew early Sunday, as Italy's government prepared to tighten coronavirus restrictions further. Some 200 masked militants belonging to neo-fascist group Forza Nuova hurled projectiles at police	33	5	2020-10-25 09:13:47	None	None
Ivory Coast: 16 dead in pre-poll ethnic violence	30	1	2020-10-25 20:54:29	None	None
'Eating rats': Myanmar's second lockdown drives hunger in city slums	26	7	2020-10-25 09:09:58	None	None
The opposition has taken power in the Seychelles for the first time since 1977, following its victory in the presidential election.	26	0	2020-10-25 17:12:18	None	None
North Korea claims dust from China carries coronavirus, warns people to stay inside	50	11	2020-10-26 00:40:05	None	None
Incident with Stowaways on board Tanker near the Isle of Wight, in the English Channel	27	14	2020-10-25 22:20:05	None	None
Wilton Gregory: Pope Francis names first African-American cardinal	37	1	2020-10-25 20:12:17	None	None
Paraguay finds seven bodies in container shipment from Serbia	24	0	2020-10-25 08:40:54	None	None
Ukrainian Law on Intelligence Required by NATO Comes Into Force	26	1	2020-10-25 04:37:56	None	None
Room-Temperature Superconductivity Achieved for the First Time	26	10	2020-10-25 19:14:56	None	None
Anti-government protests in Baghdad once again turned violent on its first day on Sunday. - Media reports and videos shared on social media platforms show protesters running on the streets after security forces reportedly tried to disperse the gathering.	27	3	2020-10-25 17:34:06	None	None
4 Israeli citizens arrested in Ukraine for smuggling 120kg. of cocaine	23	3	2020-10-25 17:33:45	None	None
Stowaways detained as special forces gain control of oil tanker off Isle of Wight, UK	67	13	2020-10-26 01:06:38	None	None
''The U.S. does not know who they are dealing with''- Erdogan	30	32	2020-10-26 00:04:43	None	None
Afghanistan: UN Mission voices ‘deep revulsion’ over deadly bomb attack on Kabul college	29	0	2020-10-25 21:02:27	None	None
Sudan to join UAE, Bahrain in recognising Israel	27	15	2020-10-25 19:33:31	None	None
Coronavirus: Italy shuts cinemas, gyms and pools in Covid fight	24	2	2020-10-25 17:11:35	None	None
Italy plans further curbs as coronavirus cases hit new record	22	1	2020-10-25 11:06:43	None	None
In Korean War Commemoration, Xi Warns That China Will ‘Use War to Prevent War’	35	16	2020-10-26 00:39:12	None	None
Isle of Wight Radio understands that seven suspects have been detained onboard the Nave Andromeda.	26	5	2020-10-25 23:49:49	None	None
EU officials hit out at Ankara after Erdoğan attacks Macron	27	1	2020-10-25 22:11:12	None	None
India records 50,129 new cases in 24 hours	23	16	2020-10-25 10:48:28	None	None
Guinea presidential rivals both claim victory	21	1	2020-10-25 04:34:55	None	None
Libya's rival forces sign permanent ceasefire at UN-sponsored talks - Deal includes departure of all foreign fighters for at least three months and prisoner exchange	21	5	2020-10-25 03:36:07	None	None
Finland shocked by therapy center hacking, client blackmail	26	3	2020-10-25 20:47:28	None	None
Israeli Soldiers Kill A Palestinian Teen Near Ramallah	23	27	2020-10-25 13:13:30	None	None
Naples riots over Covid curfew see protesters hurl missiles at cops, batter patrol cars with bats and torch garbage	28	18	2020-10-26 00:25:54	None	None
Middle East calls for boycott of French products after Macron’s remarks on prophet	24	75	2020-10-25 18:16:11	None	None
Spanish prime minister approves new state of alarm with plans to keep it in place until April	24	1	2020-10-25 17:36:43	None	None
Gunmen storm school in Cameroon, killing at least six children	18	4	2020-10-25 09:02:28	None	None
China's Xinjiang reports 137 asymptomatic COVID-19 cases - Xinhua	14	4	2020-10-25 20:21:15	None	None
Turkey extends east Med survey, Greece calls it an 'illegal move'	20	4	2020-10-25 20:20:32	None	None
12 children killed in Takhar airstrike, independent rights commission confirms: Zalmay Khalilzad [Afghanistan]	18	4	2020-10-25 18:01:22	None	None
Taliban Kills at Least 23 Afghan Soldiers in Latest Attacks	20	9	2020-10-25 04:11:15	None	None
Sri Lankan Government Reportedly Conducting Anal Virginity Tests	51	21	2020-10-26 00:51:58	None	None
Nagorno-Karabakh conflict: 'Execution' video prompts war crime probe	19	0	2020-10-25 18:48:34	None	None
Australian state of Victoria records zero new coronavirus cases, after defeating second wave with one of world's longest lockdowns	285	59	2020-10-26 01:35:12	None	None
Samsung chairman Lee Kun-hee, head of South Korea's biggest conglomerate, passes away at 78	18	2	2020-10-25 19:10:36	None	None
Special Boat Service storm oil tanker off Isle of Wight and take 7 stowaways into custody	25	8	2020-10-26 01:08:09	None	None
Nigerian police mobilize to quell worst unrest in two decades	16	1	2020-10-25 16:59:57	None	None
Indonesia reports 3,732 new coronavirus infections, 94 deaths	15	1	2020-10-25 13:29:04	None	None
Israeli COVID-19 vaccine to begin human trials next week	17	1	2020-10-26 00:26:27	None	None
France urges Middle Eastern countries to stop boycott of French products	15	55	2020-10-25 23:15:14	None	None
Turkey's Erdogan says French leader has 'lost his way' in second broadside	12	26	2020-10-25 18:22:54	None	None
UK considers reducing quarantine period for COVID-19 contacts	14	2	2020-10-25 13:45:23	None	None
Joint List condemns normalization with Sudan	13	3	2020-10-25 03:11:31	None	None
Belarus protests: Nationwide strike to go ahead, says opposition leader	22	1	2020-10-26 00:47:04	None	None
Kuwait retail co-ops remove French products over Prophet cartoon	16	22	2020-10-25 21:46:38	None	None
Iran Holds Army Ground Force Drill in Border Area as Azerbaijani-Armenian Karabakh Conflict Persists	10	1	2020-10-25 20:38:07	None	None
Far-right protesters clash with Italian police over new Covid-19 measures	12	3	2020-10-25 19:37:27	None	None
New fighting flares over Nagorno-Karabakh as Aliyev warns against Russian involvement	14	3	2020-10-25 18:42:49	None	None
Venezuelan opposition politician Lopez to arrive in Spain on Sunday	13	2	2020-10-25 14:51:34	None	None
Hong Konger involved in 'following' democracy activists deported - Focus Taiwan	12	5	2020-10-25 14:46:58	None	None
Dubai introduces facial recognition on public transport	13	1	2020-10-25 20:42:37	None	None
Planes, ships and hotel quarantine: how Australia is tracking where Covid cases come from	13	0	2020-10-25 07:23:31	None	None
Erdogan says Macron ‘needs treatment’ over attitude to Muslims	11	49	2020-10-25 02:59:03	None	None
France calls on Arab countries to stop boycott of French products	18	13	2020-10-26 01:29:49	None	None
British Columbia New Democratic Party will form historic decisive majority government	10	4	2020-10-25 10:54:47	None	None
Melbourne, Australia records zero new COVID cases	38	8	2020-10-26 01:32:07	None	None
Bulgaria signs 5G security declaration with U.S.	8	1	2020-10-25 20:27:45	None	None
Over 15 Injured in Baghdad Clashes Between Police, Protesters – Reports (Photos, Videos)	9	0	2020-10-25 20:01:06	None	None
‘Ignition of new war:’ Sudan political parties reject Israel deal | Middle East	9	10	2020-10-25 03:44:13	None	None
Scottish Government urged to agree coronavirus 'ceasefire' on Christmas Day	11	23	2020-10-25 23:02:06	None	None
Egypt pushes for progress on Syria talks, inciting Turkish anger	7	6	2020-10-25 14:25:41	None	None
Israel 'will not oppose' advanced US arms sales to UAE	6	14	2020-10-25 10:02:36	None	None
Hopes for Kylie Moore-Gilbert after detained academic moved out of Iran's Qarchak prison	9	1	2020-10-25 08:59:40	None	None
After recording 725 cases in Victoria, Australia on 5th August, today recorded no new case	12	16	2020-10-26 01:40:03	None	None
Azerbaijan, Armenia agree on fresh humanitarian truce: US	15	13	2020-10-26 01:34:19	None	None
Victoria records 0 new cases of coronavirus & no deaths.	24	0	2020-10-26 01:49:22	None	None
Brexit talks could see Merkel intervene after France refused fishing compromise	12	5	2020-10-26 01:41:56	None	None
France urges Middle Eastern countries to stop boycott of French products	8	16	2020-10-26 00:08:47	None	None
Nigeria seeks to halt looting amid fury over ‘food warehouses’	10	2	2020-10-25 23:58:18	None	None
Japan and Australia wary of China as RCEP talks enter last stretch	8	2	2020-10-25 21:41:04	None	None
Jordan to open some land border crossings for travellers	7	0	2020-10-25 08:45:55	None	None
Fighting over Nagorno-Karabakh goes on despite US mediation	5	1	2020-10-25 06:54:38	None	None
Senior al-Qaeda leader Abu Muhsin al-Masri killed in Afghanistan	2	1	2020-10-26 01:33:37	None	None
Outcry in Philippines Over General’s ‘Warning’ to Female Celebrities	6	5	2020-10-25 23:12:47	None	None
Venezuelan opposition activist Leopoldo López has abandoned the Spanish ambassador’s residence in Caracas and left Venezuela after years of frustrated efforts to oust the nation’s socialist president, his party has said.	6	5	2020-10-25 13:58:08	None	None
Kuwait retail co-ops remove French products over Prophet cartoon	20	15	2020-10-26 01:46:45	None	None
Coca-Cola Amatil gets $6.6 billion takeover offer from Coca-Cola European Partners	6	1	2020-10-26 01:37:47	None	None
Erdogan insults Macron: Jean-Yves Le Drian denounces “a desire to stir up hatred”, the ambassador returning this Sunday	4	11	2020-10-25 23:11:09	None	None
Brazil's BRF says China authorized chicken exports to resume from Dourados	5	0	2020-10-25 20:25:21	None	None
Jammu and Kashmir government initiates process for local council elections	6	4	2020-10-25 10:35:10	None	None
Victoria records zero new cases of coronavirus and no deaths	11	5	2020-10-26 01:50:29	None	None
Archbishop Wilton Gregory has been appointed the first African-American Roman Catholic cardinal	14	2	2020-10-26 01:43:53	None	None
Arab Coalition intercepts Houthi drone targeting Saudi Arabia	4	0	2020-10-25 08:41:10	None	None
Israeli government approves Bahrain normalization deal	0	3	2020-10-25 20:08:50	None	None
Rights groups condemn Houthi shelling of Taiz hospital	2	0	2020-10-25 08:47:17	None	None
Relinquishing Taiwan: The Sino-American Grand Bargain	0	10	2020-10-26 01:38:02	None	None
GB's Geoghegan Hart wins Giro d'Italia	1	0	2020-10-25 20:13:37	None	None
Doha airport in Qatar &#x27;examined women internally&#x27; after newborn baby found	0	1	2020-10-25 19:30:35	None	None
China’s ‘underground’ Catholics wary of Beijing-Vatican deal	0	0	2020-10-25 18:19:53	None	None
‘Boycott French products’ launched over Macron’s Islam comments	0	7	2020-10-25 23:21:57	None	None
Bruneians mourns as Prince Azim of Brunei is laid to rest	0	2	2020-10-25 09:38:37	None	None
Turkey's Erdogan says French leader has 'lost his way' in second broadside	0	9	2020-10-25 20:17:18	None	None
Erdogan to US threats: 'You do not know whom you are dealing with!'	0	17	2020-10-25 20:31:56	None	None
