title	score	num_comm	created	content	sources
New Zealand beats Coronavirus for the second time with no active community cases as of today.	116417	4888	2020-10-07 04:04:50	None	None
‘I’m surprised he’s even heard of us’: Wales hits back after Trump criticises country’s coronavirus response | “I look forward to welcoming Joe Biden here as next president of the United States,” says Plaid Cymru leader	99611	2930	2020-10-08 20:12:21	None	None
James Murdoch says he quit father's news empire because it legitimises ‘disinformation'	95063	3027	2020-10-11 04:39:02	None	None
Facebook bans Holocaust denial amid ‘rise in anti-Semitism and alarming level of ignorance’	93082	5041	2020-10-12 19:04:00	None	None
David Attenborough calls for global $500 billion a year investment in nature	91907	1803	2020-09-30 21:00:33	None	None
"Sandwiches in Subway ""too sugary to meet legal definition of being bread"" rules Irish Supreme Court"	91666	4476	2020-09-30 13:33:40	None	None
Right-Wing Trumpist News Site Busted as Putin Troll Farm Operation	90765	3856	2020-10-01 19:34:24	None	None
Oxygen Supply Just Failed in Part of The ISS, But Everyone Is Safe So Far	90012	3501	2020-10-16 18:37:50	None	None
Finland will jail men who send unsolicited 'd**k pics' under new proposals	89253	4625	2020-10-13 21:36:03	None	None
"New Zealand's Deputy Prime Minister shuts down American Covid-19 denier at campaign event: ""We’ve got someone who obviously got an education in America"""	89145	4564	2020-10-13 12:05:06	None	None
"Justin Trudeau: Canada-US border will stay closed until US gets COVID-19 under control - ""The U.S. is not in a place where we would feel comfortable reopening those borders. We see the cases in the USA and elsewhere around the world, and we need to continue to keep these border controls in place."""	83409	4209	2020-10-15 22:55:17	None	None
Canada banning plastic bags, straws, cutlery and other single-use items by the end of 2021	78009	2958	2020-10-07 20:20:26	None	None
The Vatican said on Wednesday it had denied a request from Mike Pompeo for an audience with Pope Francis, and accused the Secretary of State of trying to drag the Catholic Church into the U.S. presidential election	75759	2268	2020-10-01 00:26:07	None	None
Church of England forgave paedophiles and allowed them to continue working with children, inquiry finds	73243	2345	2020-10-06 15:06:47	None	None
U.S. no longer recognizes Lukashenko as president of Belarus after rigged election	73031	4080	2020-09-24 02:34:16	None	None
Russian Editor Dies After Setting Herself On Fire In Front Of An Interior Ministry Office	70805	3287	2020-10-02 20:12:52	None	None
Justin Trudeau: 'The World Is In Crisis, And Things Are About To Get Much Worse'	70163	6911	2020-09-26 22:01:46	None	None
Multiple 'water bodies' found under surface of Mars	68065	2532	2020-09-28 22:24:42	None	None
France to distribute free medical cannabis, launch experiment in 2021	67418	1911	2020-10-09 19:09:05	None	None
Mexican Senate Will Vote to Federally Legalize Cannabis in the Next Two Weeks, Leader Says	66951	1936	2020-10-15 18:08:38	None	None
Pussy Riot commandeer government buildings with LGBT+ flags to mark Putin’s birthday	66649	1327	2020-10-07 16:48:59	None	None
US officials warned the White House that Russian intelligence was using Rudy Giuliani to funnel disinformation to Trump	66522	3444	2020-10-16 06:13:06	None	None
"India arrests 83-year-old activist and Jesuit priest who was helping indigenous people fight mining corporates on ""terrorism"" charges"	66241	2060	2020-10-19 02:05:33	None	None
Coronavirus killing three times more people in the UK than flu and pneumonia combined.	65990	2718	2020-10-08 13:46:56	None	None
If Coronavirus Doesn't Kill Us, Climate Change Will: World Leaders Warn of Environmental Armageddon	65010	4634	2020-09-28 06:16:33	None	None
Brits warned 'do not take US meat at any cost' as poultry farm horror exposed	62113	8185	2020-10-20 22:17:34	None	None
Coronavirus has infected maximum of 10% of world population, WHO expert warns	61509	4014	2020-10-05 17:45:36	None	None
Mexico says two women may have had non-consensual surgery in U.S. detention center	61181	2535	2020-10-13 05:08:55	None	None
Brazil's President Jar Bolsonaro Rejects Joe Biden's Offer of $20 Billion To Protect The Amazon Rainforest	60510	3377	2020-10-04 18:19:47	None	None
French President Emmanuel Macron has announced that people must stay indoors from 21:00 to 06:00 in Paris and eight other cities to control the rapid spread of coronavirus in the country.	58608	3896	2020-10-14 23:09:26	None	None
European Parliament calls for ban on unpaid internships	57538	1679	2020-10-17 22:48:45	None	None
Greta Thunberg slams China for arresting 17-year-old climate activist in Shanghai	57368	3061	2020-09-29 23:19:22	None	None
Indigenous woman films Canadian hospital staff taunting her before death	56861	5846	2020-10-01 09:08:21	None	None
Putin's attempt to explain away the poisoning of Alexei Navalny to France failed badly and helped unite Europe against him, intelligence sources say	56312	1563	2020-09-23 20:20:22	None	None
"Two Muslim women stabbed under Eiffel Tower 'by white women shouting ""Dirty Arabs"""	56894	7689	2020-10-21 17:06:41	None	None
Pope: Market capitalism has failed in pandemic, needs reform	56292	4168	2020-10-04 17:41:04	None	None
The body of a 22-year old women, gang raped and murdered, was cremated by the UP-police,in Hathras village in INDIA, without permission of the family. The police restricted the family members from performing the last rites and allegedly locked up relatives of the victim to stop them from protesting.	55946	2275	2020-10-01 12:00:07	None	None
No smoking: CEO of Philip Morris, the company that makes Marlboro, says cigarette sales may end within 10-15 years	55611	3894	2020-09-25 19:19:53	None	None
Trump, in a new video, says he will ‘make China pay’ for coronavirus pandemic	55213	6703	2020-10-08 04:02:54	None	None
‘If You F*CK Around With Us’: Trump Launches Intense Threat to Iran on Rush Limbaugh’s Show	55179	5911	2020-10-09 23:42:57	None	None
New Zealand now has the gayest Parliament in the world.	55025	2541	2020-10-18 09:30:19	None	None
France Doubles Paid Paternity Leave to 28 Days, One of Europe’s Most Generous Plans — “When a baby arrives in the world, there is no reason it should be just the mother who takes care of it,” President Emmanuel Macron said in announcing the extension	54125	2575	2020-09-25 08:41:11	None	None
Germany has issued international arrest warrants for the two founders of the firm at the centre of the tax haven scandal exposed by the Panama Papers data leak, German media reported.	53542	774	2020-10-20 11:25:20	None	None
New Zealand refuses quarantine-free trips from Australia as Australian Capital Territory joins travel bubble: NZ PM Jacinda Ardern says her country will not open up until Australia records a month without community transmission of Covid-19	53004	2062	2020-10-03 14:38:39	None	None
Jamal Khashoggi's Fiancée Files Suit Against Saudi Crown Prince	52332	1008	2020-10-20 19:39:33	None	None
A Japanese woman running a sex worker-dispatching business sued the state on Wednesday, saying its blanket exclusion of the sex industry from a cash handout program to support small companies hit by the coronavirus is discrimination banned under the Constitution.	52262	1991	2020-09-24 21:07:06	None	None
The Great Barrier Reef has lost half its corals within 3 decades	52141	919	2020-10-14 04:45:54	None	None
