title	score	num_comm	created	content	sources
Pope Francis calls Trump’s family separation border policy ‘cruelty of the highest form’	89604	3480	2020-10-23 01:48:41	None	None
'Homosexual People Have the Right to Be in a Family.' Pope Francis Offers New Support for Same-Sex Civil Unions	82326	3942	2020-10-24 13:45:46	None	None
Amazon Tribes Are Excited to Use Drones to Detect Illegal Deforestation in Brazilian Rainforest	79298	749	2020-10-24 20:16:02	None	None
"Fewer than 4% of adults in Wuhan, China, tested positive for antibodies against COVID-19, putting the possibility of countries developing ""herd immunity"" against the virus without a vaccine in doubt."	73584	2417	2020-10-24 00:55:15	None	None
TikTok Bans Conversion Therapy and White Supremacist Content	71300	3248	2020-10-22 12:10:44	None	None
US, Saudi Arabia and Uganda join forces to declare women have no intrinsic right to abortion	69377	8438	2020-10-23 16:44:08	None	None
"India arrests 83-year-old activist and Jesuit priest who was helping indigenous people fight mining corporates on ""terrorism"" charges"	66244	2060	2020-10-19 02:05:33	None	None
It's Official: Solar Is the Cheapest Electricity in History	90255	3991	2020-10-25 05:22:55	None	None
Charlie Hebdo Muhammad cartoons projected onto government buildings in defiance of Islamist terrorists	63700	7433	2020-10-22 23:22:49	None	None
Brits warned 'do not take US meat at any cost' as poultry farm horror exposed	62116	8185	2020-10-20 22:17:34	None	None
"Two Muslim women stabbed under Eiffel Tower 'by white women shouting ""Dirty Arabs"""	56896	7689	2020-10-21 17:06:41	None	None
Germany has issued international arrest warrants for the two founders of the firm at the centre of the tax haven scandal exposed by the Panama Papers data leak, German media reported.	53542	774	2020-10-20 11:25:20	None	None
Jamal Khashoggi's Fiancée Files Suit Against Saudi Crown Prince	52329	1008	2020-10-20 19:39:33	None	None
Australian soldiers killed prisoner because he could not fit on aircraft, American marine says	46741	4163	2020-10-22 21:16:54	None	None
Air pollution killed nearly a half-million newborns last year, study says	45929	1441	2020-10-21 23:57:28	None	None
"'Democracy Has Won': Year After Right-Wing Coup Against Evo Morales, Socialist Luis Arce Declares Victory in Bolivia Election | ""Brothers and sisters: the will of the people has been asserted,"" Morales declared from exile in Argentina."	42393	4908	2020-10-19 14:51:33	None	None
Sri Lanka Police Anally Torture, Whip Gay Men Suspected of Having Sex, Human Rights Watch Says	41980	2176	2020-10-23 07:22:38	None	None
Pope Francis calls for civil union law for same-sex couples, in shift from Vatican stance	37416	2399	2020-10-21 17:39:05	None	None
US approves $1.8bn weapons sale to Taiwan	27798	2518	2020-10-22 13:44:21	None	None
It is being described as one of the biggest attacks on art and antiquities in post-war German history, but it has taken more than two weeks to emerge. At least 70 artefacts were sprayed with an oily liquid on Berlin's Museum Island, a Unesco world heritage site that is home to five famous museums.	26048	1669	2020-10-21 14:29:17	None	None
Thailand’s playboy king secretly rushed to hospital for 2am Covid test after bodyguard tests positive	24030	932	2020-10-24 06:49:11	None	None
NATO would seek early summit with Biden, if elected, envoys say	21788	1824	2020-10-20 13:37:10	None	None
Canada's bill to outlaw LGBTQ2 conversion therapy has global influence: UN expert	18091	916	2020-10-22 01:26:17	None	None
ISIS attacks surge even as Trump boasts of a ‘100%’ defeated caliphate	17863	932	2020-10-19 03:59:28	None	None
The state of Victoria, Australia went from over 700 new COVID cases per day to recording zero new cases in the last 24hours, thanks to a hard Stage 4 lockdown and mandatory mask-wearing	17218	1364	2020-10-20 06:04:52	None	None
An eyewitness tells BBC that #EndSARS police brutality protesters were kneeling in surrender when security forces fired on them in Lagos, Nigeria. Eyewitness says he counted 20 bodies on the ground after security forces opened fire.	15438	533	2020-10-21 14:30:51	None	None
Climate activist Greta Thunberg joins campaign to release Hong Kong fugitives detained in China	15183	1355	2020-10-19 10:17:01	None	None
80 million gallons of oil, larger than Exxon spill, dangerously close to pouring into Caribbean	12762	686	2020-10-19 10:53:32	None	None
Hundreds of thousands sign petition against using public money for MPs’ food after free school meals vote	13762	474	2020-10-24 23:26:46	None	None
US spies and diplomats are suggesting a Trump administration cover-up after officials in Cuba, Russia, and China got mysteriously sick	10401	529	2020-10-20 22:31:46	None	None
China warns Canada not to damage relations further with ‘lies’ about Uyghur genocide	9694	1045	2020-10-22 20:38:02	None	None
Ongoing Russian Cyberattacks Are Targeting U.S. Election Systems, Feds Say	9195	412	2020-10-23 03:34:37	None	None
Trump admin has known for weeks Iran, Russia hacked local governments	9072	231	2020-10-22 23:45:25	None	None
US removes Sudan from terrorism blacklist in return for $335m	9018	977	2020-10-20 00:34:30	None	None
France to expel 231 suspected extremists after attack on teacher	8373	1200	2020-10-18 22:41:59	None	None
New Zealand records 25 Covid cases amid arrival of foreign fishing crews	8215	672	2020-10-21 15:03:36	None	None
Prince Andrew asked Ghislaine Maxwell about accuser, documents suggest	8006	416	2020-10-23 19:30:47	None	None
Lungs of Earth on fire again as parts of Brazil the size of Britain burn	7525	488	2020-10-22 13:20:27	None	None
Monsanto lose case against French farmer	7451	629	2020-10-21 18:41:31	None	None
The Nigerian Army has arrested a soldier who had gone on social media last week to beg colleagues not to shoot at protesters. This comes after Nigerian Army personnel opened fire on peaceful protesters on October 20th, 2020.	7202	136	2020-10-21 23:27:55	None	None
Alarm as Arctic sea ice not yet freezing at latest date on record	7165	487	2020-10-22 14:39:56	None	None
Iran clears path for women to run for president	6971	530	2020-10-19 17:56:28	None	None
Taiwan says won't be intimidated by China's 'hooligan' diplomats	6654	326	2020-10-20 11:05:48	None	None
Russian opposition leader Navalny says Trump should condemn chemical attack against him	6196	293	2020-10-19 07:17:13	None	None
Young Australians are being 'aggressively radicalised' through right-wing extremism, federal police warn	6106	890	2020-10-20 13:25:27	None	None
Belarus opposition leader, Svetlana Tikhanovskaya, issues “people’s ultimatum” to Alexander Lukashenko: “on October 26th, nationwide strikes will begin... you have 13 days”	6081	187	2020-10-19 00:23:00	None	None
Bolivia’s president Arce vows to ‘rebuild’ country as landslide socialist win confirmed	7089	941	2020-10-24 20:31:44	None	None
Polish court says abortion due to foetal defects is unconstitutional	6004	984	2020-10-22 18:13:22	None	None
Soldiers open fire on protesters in Nigeria’s Lagos as they sing the National anthem and wave flags	5088	150	2020-10-21 03:01:12	None	None
85% of Ontario nursing homes break the law repeatedly with almost no consequences, data analysis shows	4796	158	2020-10-23 21:26:23	None	None
#EndSARS : Nigerian Soldiers shoot into crowd of Youths protesting against Police Brutality in Nigeria's capital	4595	246	2020-10-21 00:08:24	None	None
Ireland to go into Level 5 lockdown (highest level of restrictions) for six weeks	4433	567	2020-10-19 19:57:17	None	None
'It is terrifying': Europe braces for lengthy battle with COVID	4294	727	2020-10-24 05:32:30	None	None
China's super rich got $1.5 trillion richer during pandemic	4266	525	2020-10-20 14:16:13	None	None
Britain the only country to meet the needs of world's poorest during the pandemic, says World Bank	4164	457	2020-10-22 14:37:37	None	None
South Africa Makes Strides and Passes Same-Sex Marriage Law	3861	80	2020-10-24 10:50:20	None	None
Coronavirus survives on skin five times longer than flu, Japan study finds	3724	154	2020-10-19 06:41:41	None	None
Russia grants whistleblower Edward Snowden permanent residency rights	3706	512	2020-10-22 16:30:40	None	None
The Ozone Hole Over Antarctica Has Grown Much Deeper And Wider in 2020	3512	153	2020-10-21 08:04:07	None	None
Sweden bans Huawei and ZTE equipment from use in future 5G network	3491	306	2020-10-20 13:04:41	None	None
NASA to announce 'exciting new discovery' about the moon on Monday	3417	715	2020-10-24 06:17:37	None	None
Canada cracks down on Americans who break coronavirus rules - Those caught breaking Canada's strict coronavirus rules are getting hefty fines.	3382	346	2020-10-19 08:23:58	None	None
North Korea warnings over 'yellow dust coming from China'	3210	351	2020-10-23 15:02:07	None	None
U.S. borders with Canada, Mexico to stay closed to non-essential travel until November 21	2862	273	2020-10-19 19:07:45	None	None
Scientists discover new organ in the throat	2836	333	2020-10-21 15:17:08	None	None
Murdoch's sway on politics warrants royal commission (written by former Australian Prime Minister Kevin Rudd).	2815	158	2020-10-19 00:52:57	None	None
In two weeks, UN records 19 incidents of attacks by Israeli settlers against Palestinian olive harvesters	2881	494	2020-10-24 16:57:55	None	None
‘Catastrophic floods’: 105 killed, 5 million affected in Vietnam	2721	119	2020-10-20 14:48:41	None	None
Astronauts Plug Leak On The International Space Station With The Help Of Floating Tea Leaves	2625	163	2020-10-21 12:27:14	None	None
Polish President Duda infected with coronavirus	2575	176	2020-10-24 10:52:28	None	None
Scotland tells families not to trick-or-treat this Halloween because of Covid-19	3887	358	2020-10-25 01:58:48	None	None
UK government refuses to assist Scottish police investigation into the use of Scottish airports to facilitate US torture and rendition programs	2277	146	2020-10-22 21:42:41	None	None
Beekeeper dumps nest with 1,500 Asian hornets outside town hall in France	2240	249	2020-10-21 20:09:41	None	None
China warns UK not to offer citizenship to Hong Kong residents	2115	522	2020-10-23 14:42:55	None	None
UK to return 5,000 ancient artifacts to Iraq - Included in the repatriation is a 4,000-year-old Sumerian relic discovered in an online auction	2550	406	2020-10-24 22:01:43	None	None
Taiwan official in hospital after alleged 'violent attack' by Chinese diplomats in Fiji	2045	238	2020-10-19 09:52:37	None	None
Ireland may return to full national lockdown for six weeks in 'surprise move'	2018	173	2020-10-19 21:13:29	None	None
North Koreans systematically raped, tortured and degraded in jail, says rights group	1998	182	2020-10-19 15:12:34	None	None
Arctic sea ice isn't freezing in October for the first time on record. Ocean temperatures in the area recently climbed to more than 5C above average, following a record-breaking heatwave and the unusually early decline of last winter’s sea ice.	2402	269	2020-10-24 20:25:24	None	None
Poland abortion ruling: Police use pepper spray against protesters	1960	163	2020-10-23 12:21:21	None	None
Thousand of women protesting against Poland’s new abortion laws in cities across the country	1906	325	2020-10-24 07:11:38	None	None
Germany grants asylum to Hong Kong student arrested for 'rioting,' activist group says	1802	86	2020-10-20 07:01:54	None	None
After thumbing his nose at China, Prague’s mayor has this advice for Canada. ‘Their power is overrated’	2018	359	2020-10-24 19:12:13	None	None
Netanyahu dodges Trump’s invitation to slam Biden on conference call	1766	273	2020-10-23 22:55:54	None	None
‘We will find you. And you will be dealt with’: Canadian Defence Minister Harjit Sajjan warns white supremacists	1740	269	2020-10-23 01:50:08	None	None
Female domestic workers in Qatar face 'kicking and hair-pulling' as employers confiscate passports | The claims of mistreatment are the latest against the Gulf state which will host the 2022 football World Cup	1623	139	2020-10-23 18:04:57	None	None
Video shows Australian SAS soldiers discussing a fellow operator apparently killing a 'compliant' prisoner in Afghanistan	1626	203	2020-10-23 14:39:25	None	None
Canadian professor's website helps Russia spread disinformation, says U.S. State Department	1583	156	2020-10-21 15:37:23	None	None
COVID-19 becomes the 13th deadliest pandemic of all time	1524	303	2020-10-20 22:34:35	None	None
'I never saw stars before': Gene therapy brings back 8-year-old Canadian boy's sight	1463	61	2020-10-19 00:56:01	None	None
Russia suspected of Cold War-style microwave attack on CIA agents in Australia	1447	247	2020-10-21 16:27:52	None	None
Thai street food vendors arrive at anti-government protest venues quicker than protesters & police	1419	74	2020-10-23 17:42:32	None	None
Trump administration set to sign declaration aimed at restricting abortion ‘ Other member states signing declaration include Brazil, Uganda Hungary and Egypt’	1372	289	2020-10-22 12:38:09	None	None
Iranian dissident Mehdi Amin found murdered at his residence in Canada	1317	122	2020-10-23 06:24:34	None	None
Belarus: Thousands turn out for protests despite police threat to open fire	1304	15	2020-10-18 22:49:26	None	None
Aliens on 1,000 nearby stars could see us, new study suggests	1280	443	2020-10-23 22:16:41	None	None
Israel, Sudan reached agreement to sign a peace treaty and to normalize ties	1280	417	2020-10-23 20:00:02	None	None
China's economy in 2021 will be 10% bigger than it was in 2019 and every other major economy will be smaller	1258	639	2020-10-23 08:46:33	None	None
Annual Freezing of Arctic Sea Ice Hasn't Yet Started, 'Unprecedented' Delay Is Puzzling Scientists	1251	174	2020-10-22 20:13:28	None	None
Irish town cuts ties with ‘LGBT-free’ Polish twin in growing culture war	1217	290	2020-10-21 10:40:38	None	None
Finland suspends extraditions to Hong Kong, prompting response from Beijing	1200	44	2020-10-20 13:51:44	None	None
'Boomerang' trend of young adults living with parents is rising	1182	465	2020-10-18 23:18:27	None	None
Japan researchers show masks do block coronavirus, but not perfectly	1175	208	2020-10-22 09:30:30	None	None
Turkey says it will send troops to help Azerbaijan if requested	1098	579	2020-10-21 23:24:31	None	None
Philippine President Rodrigo Duterte says he could be held responsible for the thousands of killings under his anti-drugs crackdown and was ready to face charges	1077	174	2020-10-20 08:23:09	None	None
Artificial intelligence reveals 1.8 billion individual trees in the Sahara. The data suggest that it will soon be possible, with certain limitations, to map the location and size of every tree worldwide.	957	93	2020-10-20 19:01:48	None	None
"Russia says COVID ""under control"" despite record infections, bodies lined up in hospital basement"	928	85	2020-10-23 18:14:36	None	None
Teachers presenting white privilege as fact are breaking the law, minister warns	922	589	2020-10-21 08:17:34	None	None
U.S. sanctions Russian institute linked to dangerous malware	1680	127	2020-10-25 03:57:59	None	None
U.S. says no justification for 'concentration camps' in China	829	490	2020-10-24 04:55:55	None	None
RCMP criticized for inaction after mob violently attacks Mi’kmaq lobster facilities | “Why is it that the law has been broken multiple times and no one is arrested?” said Robert Syliboy, a Sipekne’katik fisherman whose boat was burned in a suspicious fire last week while docked at a wharf	833	187	2020-10-19 00:34:59	None	None
U.S. Whistleblower Edward Snowden Granted Permanent Residency By Russia	802	150	2020-10-22 19:30:00	None	None
Sex-assault case collapses after Edmonton police take 8 years to execute arrest warrant	808	101	2020-10-19 20:49:51	None	None
U.S. Intelligence Accuses Iran and Russia of Interfering in 2020 Election	791	195	2020-10-22 03:46:34	None	None
Thousands protest across Poland against curbs on abortion access	798	69	2020-10-24 01:27:54	None	None
More than 100 dead as Vietnam reels from 'worst floods in decades'	786	28	2020-10-23 05:25:19	None	None
'Slavery is keeping our ports open': Union says seafarers forced to spend up to 18 months on ships	741	66	2020-10-20 16:39:26	None	None
Hospitals struggle as 20 European countries record highest daily number of COVID cases	723	95	2020-10-22 01:53:31	None	None
Research team discovers breakthrough with potential to prevent, reverse Alzheimer's	1992	116	2020-10-25 04:39:37	None	None
Bellingcat: Russian scientists secretly developing Novichok nerve agent, and working with military intelligence	719	49	2020-10-24 07:34:15	None	None
Turkey's press freedom crisis is worsening amid growing state capture of media: Human Rights Watch	699	68	2020-10-19 22:58:46	None	None
NASA makes history with sample of asteroid soil	699	42	2020-10-21 02:22:12	None	None
South Australia Becomes World's First Major Jurisdiction to be Powered 100% by Solar Power	5121	249	2020-10-25 07:19:20	None	None
Mining giant sued over alleged mass lead poisoning of children	686	14	2020-10-21 17:43:56	None	None
A Nasa spacecraft has successfully landed on an asteroid, dodging boulders the size of buildings, in order to collect a handful of cosmic rubble for analysis back on Earth.	658	67	2020-10-21 13:06:17	None	None
