title	score	num_comm	created	content
Pope Francis calls Trump’s family separation border policy ‘cruelty of the highest form’	89604	3480	2020-10-23 01:48:41	
'Homosexual People Have the Right to Be in a Family.' Pope Francis Offers New Support for Same-Sex Civil Unions	82326	3942	2020-10-24 13:45:46	
Amazon Tribes Are Excited to Use Drones to Detect Illegal Deforestation in Brazilian Rainforest	79298	749	2020-10-24 20:16:02	
"Fewer than 4% of adults in Wuhan, China, tested positive for antibodies against COVID-19, putting the possibility of countries developing ""herd immunity"" against the virus without a vaccine in doubt."	73584	2417	2020-10-24 00:55:15	
TikTok Bans Conversion Therapy and White Supremacist Content	71300	3248	2020-10-22 12:10:44	
US, Saudi Arabia and Uganda join forces to declare women have no intrinsic right to abortion	69377	8438	2020-10-23 16:44:08	
"India arrests 83-year-old activist and Jesuit priest who was helping indigenous people fight mining corporates on ""terrorism"" charges"	66244	2060	2020-10-19 02:05:33	
It's Official: Solar Is the Cheapest Electricity in History	90255	3991	2020-10-25 05:22:55	
Charlie Hebdo Muhammad cartoons projected onto government buildings in defiance of Islamist terrorists	63700	7433	2020-10-22 23:22:49	
Brits warned 'do not take US meat at any cost' as poultry farm horror exposed	62116	8185	2020-10-20 22:17:34	
"Two Muslim women stabbed under Eiffel Tower 'by white women shouting ""Dirty Arabs"""	56896	7689	2020-10-21 17:06:41	
Germany has issued international arrest warrants for the two founders of the firm at the centre of the tax haven scandal exposed by the Panama Papers data leak, German media reported.	53542	774	2020-10-20 11:25:20	
Jamal Khashoggi's Fiancée Files Suit Against Saudi Crown Prince	52329	1008	2020-10-20 19:39:33	
Australian soldiers killed prisoner because he could not fit on aircraft, American marine says	46741	4163	2020-10-22 21:16:54	
Air pollution killed nearly a half-million newborns last year, study says	45929	1441	2020-10-21 23:57:28	
"'Democracy Has Won': Year After Right-Wing Coup Against Evo Morales, Socialist Luis Arce Declares Victory in Bolivia Election | ""Brothers and sisters: the will of the people has been asserted,"" Morales declared from exile in Argentina."	42393	4908	2020-10-19 14:51:33	
